snapshot_month,quote_currency,usd_to_quote,rate_date,source,source_url
2025-02,ZAR,18.4340601287,2025-02-28,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-03,USD,1.0000000000,2025-03-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-03,GBP,0.7724086916,2025-03-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-03,EUR,0.9246417013,2025-03-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-03,JPY,149.4220989367,2025-03-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-03,AUD,1.6012944984,2025-03-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-03,CAD,1.4362459547,2025-03-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-03,BRL,5.7796578826,2025-03-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-03,INR,85.4327323162,2025-03-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-03,SGD,1.3424872862,2025-03-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-03,KRW,1474.5353675451,2025-03-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-03,ZAR,18.3802126676,2025-03-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-04,USD,1.0000000000,2025-04-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-04,GBP,0.7489668513,2025-04-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-04,EUR,0.8792754770,2025-04-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-04,JPY,143.0405345995,2025-04-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-04,AUD,1.5649344940,2025-04-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-04,CAD,1.3829244702,2025-04-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-04,BRL,5.6132067177,2025-04-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-04,INR,84.5300272575,2025-04-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-04,SGD,1.3065154313,2025-04-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-04,KRW,1423.0106392333,2025-04-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-04,ZAR,18.5610656819,2025-04-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-05,USD,1.0000000000,2025-05-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-05,GBP,0.7418643619,2025-05-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-05,EUR,0.8819119852,2025-05-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-05,JPY,143.7163771056,2025-05-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-05,AUD,1.5563100803,2025-05-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-05,CAD,1.3807214040,2025-05-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-05,BRL,5.6799541406,2025-05-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-05,INR,85.5673339801,2025-05-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-05,SGD,1.2905018079,2025-05-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-05,KRW,1378.5078049211,2025-05-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-05,ZAR,17.8974336361,2025-05-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-06,USD,1.0000000000,2025-06-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-06,GBP,0.7299488055,2025-06-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-06,EUR,0.8532423208,2025-06-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-06,JPY,144.3430034130,2025-06-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-06,AUD,1.5313993174,2025-06-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-06,CAD,1.3674914676,2025-06-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-06,BRL,5.4935153584,2025-06-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-06,INR,85.8024744027,2025-06-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-06,SGD,1.2748293515,2025-06-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-06,KRW,1355.1279863481,2025-06-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-06,ZAR,17.7825085324,2025-06-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-07,USD,1.0000000000,2025-07-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-07,GBP,0.7556351564,2025-07-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-07,EUR,0.8736676568,2025-07-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-07,JPY,149.8514764983,2025-07-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-07,AUD,1.5518084920,2025-07-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-07,CAD,1.3837148349,2025-07-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-07,BRL,5.5826489603,2025-07-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-07,INR,87.6244976411,2025-07-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-07,SGD,1.2969596366,2025-07-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-07,KRW,1394.6269439105,2025-07-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-07,ZAR,18.1189935349,2025-07-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-08,USD,1.0000000000,2025-08-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-08,GBP,0.7435237605,2025-08-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-08,EUR,0.8577800652,2025-08-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-08,JPY,147.2979927946,2025-08-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-08,AUD,1.5324240865,2025-08-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-08,CAD,1.3751072225,2025-08-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-08,BRL,5.4257162464,2025-08-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-08,INR,88.1827929319,2025-08-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-08,SGD,1.2855549837,2025-08-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-08,KRW,1391.5422885572,2025-08-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-08,ZAR,17.7352890719,2025-08-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-09,USD,1.0000000000,2025-09-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-09,GBP,0.7438889362,2025-09-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-09,EUR,0.8517162082,2025-09-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-09,JPY,147.9942083298,2025-09-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-09,AUD,1.5126479857,2025-09-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-09,CAD,1.3922153139,2025-09-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-09,BRL,5.3174346308,2025-09-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-09,INR,88.7955029384,2025-09-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-09,SGD,1.2899241973,2025-09-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-09,KRW,1403.6708968572,2025-09-30,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
